dataset,imageID,ROInum,minJ,maxSCDr,maxPCF,Density,ROI_areaInclude,ROI_areaExclude,ROI_tumourArea,ROI_stromaArea,ROI_areaNecrosis,ROI_propExclude,ROI_propNecrosis,ROI_propAnnotatedOut
HeadAndNeck,27066-08,27,0.03196947,0.2993997,2.57330729,231.1111111,2.1145,0.13638,1.0011,1.1133,0.23524,0.060589636,0.104510236,0.165099872
HeadAndNeck,33754-07,2,0.561092518,0.080290145,1.165656345,551.5555556,2.2508,0,1.7556,0.49526,0,0,0,0
HeadAndNeck,33754-07,3,0.004927543,0.78114057,2.157169525,212,1.1824,1.0684,0.99663,0.18579,0,0.474675671,0,0.474675671
HeadAndNeck,33754-07,4,0.015433715,0.349674837,1.940810499,374.6666667,2.0845,0.16634,0.60659,1.4779,0,0.073901299,0,0.073901299
HeadAndNeck,33754-07,5,0.189509394,0.109554777,1.543230216,260,2.2508,0,1.0692,1.1816,0.0013271,0,0.000589613,0.000589613
HeadAndNeck,33754-07,6,0.39027006,0.076538269,1.305224235,559.1111111,2.2508,0,1.4868,0.76406,0,0,0,0
HeadAndNeck,33754-07,7,0.090835107,0.106553277,1.226159922,345.7777778,2.2508,0,1.6793,0.57153,0,0,0,0
HeadAndNeck,33754-07,8,0.50877476,0.086293147,1.187017742,276.8888889,2.2508,0,1.6626,0.58821,0,0,0,0
HeadAndNeck,33754-07,9,0.236412363,0.104302151,1.345860062,421.7777778,2.2508,0,1.1703,1.0806,0,0,0,0
HeadAndNeck,33754-07,10,0.131752442,0.152326163,1.55758912,265.7777778,2.2508,0,1.5772,0.6736,0,0,0,0
HeadAndNeck,33754-07,11,0.093903532,0.10130065,1.229603304,462.6666667,2.2508,0,1.795,0.45589,0,0,0,0
HeadAndNeck,33754-07,12,0.247652107,0.09829915,1.275343423,394.6666667,2.2508,0,1.6798,0.57109,0,0,0,0
HeadAndNeck,33754-07,13,0.021886515,0.270135068,2.406144895,235.5555556,2.2508,0,1.5411,0.70973,0,0,0,0
HeadAndNeck,33754-07,14,0.73506301,0.083291646,1.330981651,330.2222222,2.2508,0,1.6624,0.58841,0.021231,0,0.009432646,0.009432646
HeadAndNeck,33754-07,15,0.818051156,0.077288644,1.234922925,399.5555556,2.2508,0,1.9165,0.33436,0,0,0,0
HeadAndNeck,33754-07,16,0.843187159,0.102051026,1.151951826,331.5555556,2.2508,0,1.4394,0.81144,0,0,0,0
HeadAndNeck,33754-07,17,0.179341189,0.131315658,1.184946568,382.2222222,2.2127,0.038125,1.6228,0.58987,0,0.016938234,0,0.016938234
HeadAndNeck,33754-07,18,0.097839103,0.273136568,1.483165732,224.8888889,2.2508,0,1.9427,0.30815,0,0,0,0
HeadAndNeck,33754-07,19,0.385480179,0.096798399,1.18165915,515.5555556,2.2508,0,1.817,0.43384,0,0,0,0
HeadAndNeck,33754-07,20,0.503288417,0.103551776,1.303043884,331.1111111,2.2508,0,1.8406,0.4102,0,0,0,0
HeadAndNeck,33754-07,21,0.186357949,0.123061531,1.50813707,413.7777778,2.1763,0.074508,1.2174,0.95894,0.00074758,0.033102779,0.000332139,0.033434918
HeadAndNeck,33754-07,22,0.22543483,0.111055528,1.411317243,231.1111111,2.2508,0,1.5467,0.70415,0,0,0,0
