Image,Score,minJ,maxSCDr,maxPCF,Density,Notes,hasNotes
99,2,0.222887735,0.120810405,1.598572472,222.6666667,nan,FALSE
100,3,0.188464337,0.096798399,1.353488068,434.2222222,nan,FALSE
101,1,0.142356413,0.173336668,1.901943656,301.3333333,nan,FALSE
104,3,0.960641143,0.095297649,1.134859916,273.7777778,nan,FALSE
105,2,0.048571855,0.156078039,1.670829068,266.2222222,nan,FALSE
108,0,0.009524316,0.514757379,1.981425324,338.6666667,nan,FALSE
109,0,0.008261637,0.364682341,1.922057345,392.4444444,nan,FALSE
110,0,0.239171362,0.177088544,3.81855609,167.1111111,nan,FALSE
111,0,0.214554879,0.135067534,1.896571297,492.8888889,nan,FALSE
112,0,0.038229499,0.360930465,3.218956036,271.1111111,nan,FALSE
113,0,0.122381034,0.213106553,2.320140903,326.2222222,nan,FALSE
