26.14,331.66
26.8,1223.4
37.57,37.587
42.029,1268.3
53.688,74.188
58.453,913.89
65.268,1138.8
81.12,365.97
86.732,1216.8
89.54,1348.8
99.32,1191.9
116.67,277.99
152.91,1176.5
152.21,269.95
166.13,1091.4
170.17,1128.4
217.53,183.09
277.07,1114.7
288.88,1094.6
291.65,217.71
314.64,1004.9
323.52,1092.4
355.03,1454.9
358.01,163.62
395.75,1001
400.44,1445.5
405.19,654.02
405.25,944.55
423.98,956.11
442.79,858.1
441.61,838.3
444.63,910.16
448.97,103.64
461.34,1053
472.58,493.63
472.92,511.11
484.76,616.21
478.43,959.6
478.96,156.8
483.03,192.09
492.83,512.06
526.08,691.49
554.71,443.18
647.38,1369.1
649.19,656.54
664.64,1359.3
730.51,1076.9
741.37,1288.2
777.81,1364
790.83,1243.7
792.48,1368.6
802.31,1236.6
806.24,112.77
814.67,20.727
816.34,1169.3
848.61,785.08
866.39,42.763
863.86,117.88
865.68,881.44
878.01,958.6
900.63,197.89
926.17,484.11
926.51,1062.7
929.93,66.919
984.03,730.61
1034,368.42
1036.3,134.64
1068.7,655.85
1115.7,586.36
1128.3,1323.7
1133.2,159.41
1139.2,1310.6
1149,260.13
1162.6,127.22
1177.4,42.587
1178.1,74.521
1185,1252
1185.9,309.43
1190.3,1281.8
1187,376.65
1206.4,595.99
1207,1208.8
1221.7,1339.5
1230.5,1261.3
1232.6,1103.3
1234.4,1426.5
1245.3,1244.4
1241.3,1303.8
1250.7,508.48
1257.6,1136.6
1279.6,891.89
1283.8,752.74
1287.1,972.2
1287.8,1377.9
1288.9,1491.4
1301,1311.3
1308.2,887.18
1320.7,1381.7
1328.6,986.33
1329.9,942.27
1336.6,883.63
1337.1,558.15
1338.5,1095.9
1347.3,913.05
1349.9,440.79
1351.1,453.78
1354.8,486.22
1355.6,1120.4
1371.1,520.44
1375.2,778.01
1375.3,629.46
1375.8,876.02
1379.9,55.116
1380.6,1393.8
1394.1,1120.1
1399.4,375.96
1399.4,261.3
1409.3,149.36
1408,205.25
1409.1,717.08
1413.3,1065.4
1414.5,885.45
1415.9,83.912
1421.7,1484.7
1425.4,860.57
1428.7,166.47
1433.6,429.05
1442.1,178.91
1450.9,199.3
1448.2,17.294
1448.8,164.48
1447.5,471.33
1450,985.39
1454,286.18
1453.2,1395.1
1457.3,305.83
1458.6,214.34
1459.6,760.88
1462.5,1311.6
1469.4,753.89
1465.9,289.56
1465.2,519.5
1469.4,203.76
1468,787.94
1473.6,253.64
1477.1,297.27
1484,437.93
1483.5,39.935
1486.7,864.67
1485.9,1038.3
1488.2,448.82
1489.1,119.83
1492.2,148.06
1494.6,1029.6
1495.8,331.2
1497.3,163.59
